establishment_type,severity,inspection_date
Restaurant,S - Significant,2022-08-16
Restaurant,C - Crucial,2022-08-16
Food Take Out,S - Significant,2022-11-23
Restaurant,S - Significant,2022-08-08
Restaurant,S - Significant,2022-08-08
Restaurant,S - Significant,2022-08-08
Restaurant,S - Significant,2023-02-09
Food Take Out,S - Significant,2023-06-02
Food Take Out,C - Crucial,2023-06-02
Food Take Out,S - Significant,2023-06-02
Food Take Out,S - Significant,2023-06-02
Food Take Out,C - Crucial,2023-12-01
Food Take Out,S - Significant,2023-12-01
Food Take Out,S - Significant,2023-12-01
Food Take Out,S - Significant,2023-12-01
Restaurant,S - Significant,2022-11-28
Restaurant,S - Significant,2022-11-28
Restaurant,S - Significant,2023-02-23
Restaurant,S - Significant,2023-02-23
Restaurant,S - Significant,2023-02-23
Restaurant,S - Significant,2023-02-23
Restaurant,S - Significant,2023-02-23
Restaurant,S - Significant,2023-11-15
Restaurant,S - Significant,2022-10-11
Restaurant,S - Significant,2023-12-21
Restaurant,C - Crucial,2024-01-11
Restaurant,S - Significant,2024-01-11
Restaurant,C - Crucial,2024-01-11
Restaurant,C - Crucial,2024-01-11
Restaurant,C - Crucial,2024-01-11
Restaurant,S - Significant,2022-01-19
Restaurant,S - Significant,2022-01-19
Restaurant,S - Significant,2022-01-19
Restaurant,S - Significant,2022-12-01
Restaurant,S - Significant,2023-09-27
Restaurant,S - Significant,2023-09-27
Restaurant,S - Significant,2023-06-26
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-05-11
Butcher Shop,S - Significant,2023-10-26
Restaurant,S - Significant,2022-08-29
Restaurant,S - Significant,2022-08-29
Restaurant,S - Significant,2023-08-08
Restaurant,S - Significant,2022-09-02
Restaurant,S - Significant,2023-03-27
Restaurant,S - Significant,2023-08-03
Restaurant,S - Significant,2022-06-21
Restaurant,S - Significant,2022-07-27
Restaurant,S - Significant,2022-07-27
Restaurant,S - Significant,2022-07-27
Restaurant,S - Significant,2023-02-08
Restaurant,S - Significant,2023-02-08
Restaurant,S - Significant,2023-09-13
Restaurant,S - Significant,2024-01-12
Restaurant,S - Significant,2022-11-04
Restaurant,C - Crucial,2022-11-04
Restaurant,S - Significant,2023-02-14
Restaurant,S - Significant,2023-02-14
Restaurant,S - Significant,2023-02-14
Food Court Vendor,S - Significant,2023-04-12
Food Court Vendor,S - Significant,2023-04-12
Food Court Vendor,S - Significant,2023-07-12
Restaurant,S - Significant,2022-09-20
Bake Shop,S - Significant,2022-09-15
Bake Shop,S - Significant,2023-02-13
Restaurant,S - Significant,2023-01-11
Restaurant,S - Significant,2023-01-11
Restaurant,S - Significant,2023-08-15
Food Take Out,S - Significant,2023-07-10
Restaurant,S - Significant,2022-12-09
Restaurant,S - Significant,2022-12-09
Restaurant,S - Significant,2022-12-09
Restaurant,S - Significant,2023-08-18
Restaurant,S - Significant,2023-08-18
Restaurant,S - Significant,2023-08-18
Restaurant,C - Crucial,2023-08-18
Restaurant,S - Significant,2022-08-03
Restaurant,S - Significant,2023-03-10
Food Take Out,C - Crucial,2022-09-29
Restaurant,C - Crucial,2022-03-03
Restaurant,S - Significant,2022-03-03
Restaurant,S - Significant,2022-05-12
Restaurant,S - Significant,2023-12-13
Food Take Out,S - Significant,2022-05-05
Food Take Out,S - Significant,2022-11-25
Food Take Out,S - Significant,2023-06-26
Restaurant,S - Significant,2023-03-21
Restaurant,S - Significant,2022-09-08
Restaurant,S - Significant,2022-09-08
Restaurant,S - Significant,2023-05-05
Restaurant,S - Significant,2023-05-05
Restaurant,S - Significant,2023-05-05
Nursing Home / Home for the Aged,S - Significant,2022-03-18
Restaurant,S - Significant,2023-02-07
Restaurant,S - Significant,2023-02-07
Restaurant,S - Significant,2022-03-03
Restaurant,S - Significant,2022-03-03
Restaurant,S - Significant,2022-03-03
Restaurant,C - Crucial,2022-07-20
Restaurant,C - Crucial,2022-07-20
Restaurant,S - Significant,2023-04-13
Restaurant,C - Crucial,2023-04-13
Child Care - Catered,S - Significant,2023-11-17
Child Care - Catered,S - Significant,2023-11-17
Food Processing Plant,S - Significant,2022-06-29
Restaurant,S - Significant,2022-11-24
Restaurant,S - Significant,2022-11-24
Restaurant,S - Significant,2022-11-24
Restaurant,S - Significant,2023-05-12
Food Court Vendor,S - Significant,2022-09-26
Food Take Out,S - Significant,2023-03-15
Restaurant,S - Significant,2022-07-19
Restaurant,S - Significant,2023-02-24
Restaurant,S - Significant,2023-02-24
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-04-26
Restaurant,S - Significant,2023-10-24
Child Care - Food Preparation,S - Significant,2023-09-25
Restaurant,S - Significant,2022-07-25
Restaurant,S - Significant,2022-07-25
Restaurant,S - Significant,2022-07-25
Restaurant,S - Significant,2023-03-29
Restaurant,S - Significant,2023-07-19
Restaurant,S - Significant,2023-07-19
Restaurant,S - Significant,2023-12-06
Restaurant,S - Significant,2023-12-06
Restaurant,S - Significant,2022-05-20
Restaurant,S - Significant,2022-05-20
Restaurant,S - Significant,2023-03-08
Restaurant,S - Significant,2023-03-08
Restaurant,S - Significant,2023-03-08
Restaurant,S - Significant,2023-12-15
Restaurant,S - Significant,2022-01-27
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-07-26
Restaurant,S - Significant,2022-07-18
Restaurant,C - Crucial,2022-07-18
Restaurant,S - Significant,2022-07-18
Restaurant,S - Significant,2022-10-26
Restaurant,C - Crucial,2022-10-26
Restaurant,S - Significant,2022-10-26
Restaurant,C - Crucial,2022-10-26
Restaurant,S - Significant,2023-04-05
Bakery,S - Significant,2022-08-30
Food Take Out,S - Significant,2022-09-16
Food Take Out,S - Significant,2022-09-16
Food Take Out,S - Significant,2023-07-21
Restaurant,S - Significant,2023-03-21
Bakery,C - Crucial,2022-08-11
Bakery,S - Significant,2022-08-11
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-09-01
Restaurant,S - Significant,2023-09-01
Restaurant,S - Significant,2024-01-09
Food Take Out,S - Significant,2023-11-16
Food Take Out,S - Significant,2023-11-16
Food Take Out,C - Crucial,2023-11-16
Food Take Out,S - Significant,2023-11-16
Restaurant,S - Significant,2023-02-15
Restaurant,S - Significant,2024-01-16
Restaurant,S - Significant,2022-03-23
Restaurant,S - Significant,2022-03-23
Restaurant,S - Significant,2022-11-08
Restaurant,S - Significant,2023-04-12
Restaurant,S - Significant,2023-08-17
Restaurant,C - Crucial,2023-08-17
Restaurant,S - Significant,2023-08-17
Restaurant,C - Crucial,2023-08-17
Restaurant,S - Significant,2023-12-20
Supermarket,S - Significant,2022-04-11
Supermarket,S - Significant,2023-06-16
Supermarket,S - Significant,2023-10-16
Restaurant,S - Significant,2022-05-12
Restaurant,S - Significant,2022-05-12
Restaurant,C - Crucial,2023-07-24
Restaurant,S - Significant,2023-10-11
Restaurant,S - Significant,2023-02-09
Restaurant,S - Significant,2022-08-26
Restaurant,S - Significant,2023-05-16
Restaurant,S - Significant,2023-05-16
Restaurant,S - Significant,2022-07-14
Restaurant,S - Significant,2022-07-14
Restaurant,S - Significant,2022-07-14
Restaurant,S - Significant,2023-09-29
Restaurant,S - Significant,2022-11-02
Restaurant,S - Significant,2023-10-06
Restaurant,S - Significant,2022-06-06
Restaurant,C - Crucial,2022-06-06
Restaurant,C - Crucial,2022-06-06
Food Processing Plant,S - Significant,2022-11-04
Food Processing Plant,S - Significant,2022-11-04
Food Processing Plant,S - Significant,2022-11-04
Food Processing Plant,S - Significant,2022-11-04
Food Processing Plant,S - Significant,2023-08-25
Food Processing Plant,S - Significant,2023-12-22
Food Take Out,S - Significant,2022-06-28
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,C - Crucial,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Take Out,S - Significant,2023-05-03
Food Take Out,S - Significant,2023-05-03
Food Take Out,S - Significant,2023-05-03
Food Take Out,S - Significant,2023-05-03
Food Take Out,S - Significant,2023-05-03
Food Take Out,S - Significant,2023-12-20
Food Take Out,S - Significant,2023-12-20
Restaurant,S - Significant,2023-04-19
Bakery,S - Significant,2022-05-25
Bakery,S - Significant,2022-05-25
Food Store (Convenience/Variety),S - Significant,2022-06-24
Food Store (Convenience/Variety),S - Significant,2022-06-24
Food Store (Convenience/Variety),S - Significant,2022-06-24
Private Club,S - Significant,2022-05-06
Supermarket,S - Significant,2023-01-30
Supermarket,S - Significant,2023-01-30
Supermarket,S - Significant,2023-01-30
Supermarket,S - Significant,2023-09-26
Supermarket,S - Significant,2023-09-26
Supermarket,S - Significant,2023-09-26
Supermarket,S - Significant,2023-09-26
Supermarket,S - Significant,2022-05-17
Supermarket,S - Significant,2022-08-12
Supermarket,C - Crucial,2022-08-12
Boarding / Lodging Home - Kitchen,S - Significant,2022-10-21
Boarding / Lodging Home - Kitchen,S - Significant,2023-06-01
Community Kitchen (Meal Program),S - Significant,2022-12-05
Community Kitchen (Meal Program),S - Significant,2023-02-21
Community Kitchen (Meal Program),S - Significant,2023-02-21
Serving Kitchen,S - Significant,2023-06-23
Ice Cream / Yogurt Vendors,S - Significant,2023-07-07
Ice Cream / Yogurt Vendors,S - Significant,2023-07-07
Ice Cream / Yogurt Vendors,S - Significant,2023-07-07
Ice Cream / Yogurt Vendors,S - Significant,2023-07-07
Food Store (Convenience/Variety),C - Crucial,2022-10-17
Cocktail Bar / Beverage Room,S - Significant,2023-02-01
Child Care - Catered,S - Significant,2022-01-21
Elementary School Food Services,S - Significant,2023-11-20
Food Take Out,S - Significant,2023-04-14
Restaurant,S - Significant,2022-08-16
Food Take Out,S - Significant,2023-10-04
Cafeteria - Public Access,S - Significant,2023-02-14
Cafeteria - Public Access,S - Significant,2024-01-10
Restaurant,S - Significant,2023-04-27
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-02-22
Restaurant,S - Significant,2023-02-22
Food Take Out,S - Significant,2023-07-17
Food Take Out,S - Significant,2023-07-17
Child Care - Catered,S - Significant,2023-06-23
Restaurant,S - Significant,2023-02-10
Restaurant,S - Significant,2023-02-10
Restaurant,S - Significant,2023-02-10
Restaurant,C - Crucial,2023-02-10
Butcher Shop,S - Significant,2022-07-20
Butcher Shop,S - Significant,2022-07-20
Butcher Shop,S - Significant,2022-07-20
Bakery,C - Crucial,2022-06-29
Bakery,C - Crucial,2022-06-29
Bakery,S - Significant,2022-10-28
Bakery,S - Significant,2023-04-12
Food Court Vendor,C - Crucial,2023-07-11
Restaurant,S - Significant,2023-10-25
Restaurant,S - Significant,2023-10-25
Bake Shop,S - Significant,2022-11-01
Bake Shop,S - Significant,2022-11-01
Bake Shop,S - Significant,2023-02-28
Bake Shop,C - Crucial,2023-02-28
Bake Shop,S - Significant,2023-12-19
Bake Shop,S - Significant,2023-12-19
Bake Shop,S - Significant,2023-12-19
Restaurant,C - Crucial,2022-06-20
Restaurant,S - Significant,2023-04-20
Restaurant,S - Significant,2023-07-27
Restaurant,S - Significant,2023-07-27
Cafeteria - Private Access,S - Significant,2022-03-30
Restaurant,S - Significant,2022-11-16
Restaurant,S - Significant,2022-11-16
Restaurant,C - Crucial,2023-04-24
Restaurant,S - Significant,2023-04-24
Restaurant,C - Crucial,2023-04-24
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-08-24
Restaurant,C - Crucial,2023-08-24
Restaurant,S - Significant,2023-03-16
Restaurant,C - Crucial,2023-03-16
Bakery,S - Significant,2022-05-10
Bakery,C - Crucial,2022-05-10
Bakery,C - Crucial,2022-05-10
Bakery,S - Significant,2022-05-10
Restaurant,S - Significant,2023-08-15
Restaurant,S - Significant,2023-12-08
Restaurant,S - Significant,2023-12-08
Restaurant,C - Crucial,2022-10-14
Restaurant,S - Significant,2022-10-14
Restaurant,C - Crucial,2022-04-04
Restaurant,C - Crucial,2022-04-04
Restaurant,C - Crucial,2022-04-04
Restaurant,S - Significant,2022-04-04
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Restaurant,S - Significant,2023-06-05
Food Take Out,C - Crucial,2023-08-21
Food Take Out,S - Significant,2023-08-21
Food Take Out,S - Significant,2023-08-21
Food Take Out,S - Significant,2023-08-22
Restaurant,S - Significant,2022-06-22
Restaurant,S - Significant,2022-06-22
Restaurant,C - Crucial,2022-06-22
Restaurant,C - Crucial,2023-03-15
Restaurant,C - Crucial,2023-03-15
Restaurant,S - Significant,2023-03-15
Restaurant,S - Significant,2023-03-15
Restaurant,C - Crucial,2023-06-16
Restaurant,S - Significant,2023-06-16
Restaurant,S - Significant,2023-06-16
Restaurant,C - Crucial,2023-06-16
Restaurant,S - Significant,2023-06-16
Restaurant,S - Significant,2023-10-30
Restaurant,S - Significant,2023-10-30
Restaurant,C - Crucial,2023-10-30
Restaurant,C - Crucial,2023-10-30
Restaurant,C - Crucial,2023-10-30
Restaurant,S - Significant,2023-12-14
Food Store (Convenience/Variety),C - Crucial,2023-11-06
Restaurant,C - Crucial,2022-07-14
Restaurant,S - Significant,2022-07-14
Restaurant,S - Significant,2022-07-14
Restaurant,S - Significant,2022-07-14
Supermarket,S - Significant,2023-07-10
Supermarket,S - Significant,2023-07-10
Supermarket,S - Significant,2023-07-31
Restaurant,S - Significant,2023-09-05
Restaurant,S - Significant,2023-03-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2023-04-26
Food Take Out,S - Significant,2023-10-24
Food Take Out,S - Significant,2022-09-27
Food Take Out,S - Significant,2022-09-27
Food Take Out,S - Significant,2022-09-27
Food Take Out,S - Significant,2022-09-27
Food Take Out,S - Significant,2023-11-02
Cafeteria - Private Access,S - Significant,2023-12-12
Food Take Out,C - Crucial,2022-05-31
Food Take Out,S - Significant,2022-05-31
Food Take Out,S - Significant,2022-05-31
Food Take Out,S - Significant,2022-05-31
Food Take Out,S - Significant,2022-07-08
Food Take Out,S - Significant,2022-07-08
Restaurant,S - Significant,2023-02-28
Restaurant,S - Significant,2023-02-08
Supermarket,S - Significant,2022-07-13
Food Caterer,S - Significant,2022-07-28
Food Caterer,S - Significant,2023-01-24
Restaurant,S - Significant,2022-11-04
Restaurant,S - Significant,2023-04-04
Restaurant,S - Significant,2023-04-04
Restaurant,S - Significant,2023-08-17
Restaurant,S - Significant,2023-08-17
Restaurant,S - Significant,2022-05-11
Restaurant,S - Significant,2022-06-10
Restaurant,S - Significant,2022-06-10
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-05-23
Restaurant,S - Significant,2022-06-22
Restaurant,S - Significant,2022-11-10
Bakery,S - Significant,2022-06-15
Bakery,S - Significant,2023-03-30
Bakery,S - Significant,2023-03-30
Bakery,S - Significant,2023-07-28
Bakery,C - Crucial,2023-12-14
Bakery,S - Significant,2023-12-14
Bakery,C - Crucial,2023-12-14
Bakery,S - Significant,2023-12-14
Bakery,S - Significant,2023-12-14
Bakery,S - Significant,2023-12-14
Restaurant,S - Significant,2023-08-03
Food Take Out,S - Significant,2023-04-17
Food Take Out,S - Significant,2023-04-17
Supermarket,S - Significant,2023-12-19
Food Take Out,C - Crucial,2023-03-08
Food Take Out,S - Significant,2023-03-08
Food Take Out,S - Significant,2023-03-08
Food Take Out,C - Crucial,2023-03-08
Food Take Out,S - Significant,2023-03-08
Food Take Out,S - Significant,2023-08-23
Food Take Out,S - Significant,2023-08-23
Food Take Out,C - Crucial,2023-08-23
Food Take Out,S - Significant,2023-08-23
Food Take Out,S - Significant,2023-12-04
Bakery,S - Significant,2023-04-11
Bakery,S - Significant,2023-10-18
Restaurant,S - Significant,2023-07-04
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-12-18
Restaurant,C - Crucial,2023-11-15
Restaurant,S - Significant,2023-11-15
Bake Shop,S - Significant,2022-03-29
Bake Shop,S - Significant,2023-02-22
Bake Shop,S - Significant,2023-05-18
Bake Shop,S - Significant,2023-05-18
Restaurant,S - Significant,2022-05-24
Restaurant,C - Crucial,2022-05-24
Restaurant,C - Crucial,2022-05-24
Restaurant,S - Significant,2023-05-08
Restaurant,S - Significant,2023-10-16
Restaurant,S - Significant,2023-10-16
Restaurant,C - Crucial,2023-10-16
Restaurant,C - Crucial,2023-10-16
Food Court Vendor,S - Significant,2023-02-09
Restaurant,S - Significant,2022-06-15
Restaurant,S - Significant,2022-08-08
Bakery,S - Significant,2023-11-29
Restaurant,S - Significant,2022-07-22
Restaurant,S - Significant,2023-03-01
Restaurant,C - Crucial,2023-06-16
Restaurant,S - Significant,2023-06-16
Restaurant,S - Significant,2023-11-13
Restaurant,S - Significant,2022-11-30
Restaurant,S - Significant,2022-11-30
Restaurant,S - Significant,2022-11-30
Restaurant,S - Significant,2022-11-30
Restaurant,S - Significant,2022-11-30
Restaurant,S - Significant,2022-12-02
Restaurant,S - Significant,2023-04-26
Food Take Out,S - Significant,2022-03-07
Restaurant,S - Significant,2023-01-06
Restaurant,S - Significant,2023-05-15
Restaurant,S - Significant,2023-05-15
Restaurant,S - Significant,2023-05-15
Restaurant,S - Significant,2023-05-15
Food Take Out,S - Significant,2023-04-26
Food Take Out,C - Crucial,2023-04-26
Child Care - Catered,S - Significant,2023-01-13
Child Care - Food Preparation,S - Significant,2022-01-31
Child Care - Food Preparation,S - Significant,2023-01-27
Supermarket,S - Significant,2023-01-16
Hospitals & Health Facilities,S - Significant,2023-09-19
Community Kitchen (Meal Program),S - Significant,2023-06-01
Restaurant,S - Significant,2022-10-12
Restaurant,S - Significant,2023-06-30
Restaurant,S - Significant,2022-08-04
Restaurant,S - Significant,2022-08-04
Restaurant,C - Crucial,2022-08-04
Restaurant,S - Significant,2022-08-04
Restaurant,S - Significant,2022-12-05
Chartered Cruise Boats,S - Significant,2023-07-04
Secondary School Food Services,S - Significant,2023-12-08
Restaurant,S - Significant,2022-08-02
Restaurant,C - Crucial,2022-08-02
Restaurant,S - Significant,2022-08-02
Restaurant,S - Significant,2023-11-29
Butcher Shop,S - Significant,2023-07-13
Nursing Home / Home for the Aged,S - Significant,2022-11-09
Food Take Out,S - Significant,2022-10-24
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2022-04-04
Restaurant,C - Crucial,2022-04-04
Restaurant,C - Crucial,2022-04-04
Restaurant,S - Significant,2022-04-04
Restaurant,S - Significant,2022-08-05
Restaurant,S - Significant,2022-08-05
Restaurant,S - Significant,2022-08-05
Restaurant,C - Crucial,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-11-29
Restaurant,S - Significant,2023-11-29
Restaurant,S - Significant,2023-11-29
Restaurant,S - Significant,2023-11-29
Food Caterer,S - Significant,2023-06-27
Food Processing Plant,S - Significant,2022-04-07
Food Processing Plant,S - Significant,2022-04-07
Restaurant,S - Significant,2022-10-05
Restaurant,C - Crucial,2022-10-05
Restaurant,S - Significant,2023-04-17
Food Take Out,C - Crucial,2023-08-08
Food Take Out,C - Crucial,2023-08-08
Food Take Out,S - Significant,2023-08-08
Food Take Out,S - Significant,2023-08-08
Food Take Out,S - Significant,2023-08-08
Food Processing Plant,S - Significant,2022-02-24
Restaurant,S - Significant,2023-08-30
Food Take Out,S - Significant,2022-07-14
Food Take Out,S - Significant,2022-07-14
Food Take Out,C - Crucial,2022-07-14
Food Take Out,S - Significant,2023-06-01
Restaurant,C - Crucial,2022-03-10
Restaurant,S - Significant,2023-10-26
Food Take Out,S - Significant,2023-03-31
Food Take Out,S - Significant,2023-07-17
Food Store (Convenience/Variety),S - Significant,2022-11-09
Cocktail Bar / Beverage Room,S - Significant,2022-10-12
Child Care - Catered,S - Significant,2023-11-13
Child Care - Catered,S - Significant,2023-05-04
Child Care - Catered,S - Significant,2023-07-17
Child Care - Catered,S - Significant,2023-07-17
Restaurant,S - Significant,2023-01-27
Restaurant,S - Significant,2023-10-13
Restaurant,S - Significant,2023-10-13
Restaurant,S - Significant,2023-06-12
Restaurant,S - Significant,2023-06-12
Restaurant,S - Significant,2023-06-19
Food Take Out,S - Significant,2022-09-20
Food Take Out,S - Significant,2023-10-03
Food Take Out,S - Significant,2023-10-03
Food Take Out,S - Significant,2023-10-03
Food Take Out,S - Significant,2023-10-03
Food Take Out,C - Crucial,2023-10-03
Food Take Out,S - Significant,2023-10-03
Restaurant,S - Significant,2022-10-27
Restaurant,S - Significant,2022-10-27
Restaurant,S - Significant,2022-10-27
Restaurant,S - Significant,2022-10-27
Bakery,S - Significant,2022-08-11
Bakery,C - Crucial,2023-08-31
Bakery,S - Significant,2023-08-31
Bakery,S - Significant,2023-08-31
Bakery,S - Significant,2023-08-31
Bakery,S - Significant,2023-08-31
Bakery,S - Significant,2023-08-31
Food Court Vendor,S - Significant,2022-10-11
Restaurant,S - Significant,2023-03-22
Restaurant,S - Significant,2023-05-19
Food Store (Convenience/Variety),S - Significant,2022-03-15
Food Take Out,S - Significant,2022-03-11
Restaurant,S - Significant,2023-03-15
Ice Cream / Yogurt Vendors,S - Significant,2022-07-15
Restaurant,S - Significant,2022-06-22
Restaurant,S - Significant,2022-06-22
Restaurant,S - Significant,2022-06-22
Restaurant,S - Significant,2023-04-19
Restaurant,S - Significant,2023-04-19
Restaurant,S - Significant,2023-04-19
Food Take Out,S - Significant,2023-03-09
Commissary,S - Significant,2023-09-11
Child Care - Catered,S - Significant,2023-03-09
Child Care - Catered,S - Significant,2023-03-09
Food Store (Convenience/Variety),S - Significant,2022-10-20
Restaurant,S - Significant,2022-06-09
Food Depot,S - Significant,2022-06-30
Restaurant,S - Significant,2022-05-20
Restaurant,S - Significant,2023-11-16
Restaurant,C - Crucial,2023-11-16
Food Store (Convenience/Variety),S - Significant,2023-03-31
Food Store (Convenience/Variety),S - Significant,2023-03-31
Food Store (Convenience/Variety),C - Crucial,2023-03-31
Food Store (Convenience/Variety),S - Significant,2023-08-16
Food Store (Convenience/Variety),S - Significant,2023-11-02
Cocktail Bar / Beverage Room,S - Significant,2023-04-14
Child Care - Food Preparation,S - Significant,2023-06-30
Restaurant,S - Significant,2023-07-17
Restaurant,S - Significant,2023-07-17
Restaurant,S - Significant,2023-07-17
Restaurant,S - Significant,2022-05-30
Restaurant,S - Significant,2023-02-14
Restaurant,S - Significant,2023-02-14
Restaurant,S - Significant,2023-07-17
Restaurant,S - Significant,2023-11-21
Food Take Out,S - Significant,2023-08-22
Restaurant,S - Significant,2022-09-20
Food Take Out,C - Crucial,2022-05-12
Food Take Out,C - Crucial,2022-05-12
Food Take Out,S - Significant,2023-04-24
Food Take Out,S - Significant,2023-04-24
Food Take Out,S - Significant,2023-08-03
Food Take Out,S - Significant,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,C - Crucial,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,C - Crucial,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,S - Significant,2023-12-04
Food Take Out,C - Crucial,2023-12-04
Food Take Out,S - Significant,2023-12-04
Restaurant,S - Significant,2022-10-12
Restaurant,S - Significant,2022-10-12
Restaurant,S - Significant,2022-10-12
Restaurant,S - Significant,2023-03-10
Restaurant,S - Significant,2023-03-10
Restaurant,S - Significant,2023-07-26
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-10-12
Restaurant,S - Significant,2023-10-18
Restaurant,S - Significant,2023-04-05
Restaurant,S - Significant,2023-09-25
Restaurant,C - Crucial,2022-09-21
Restaurant,S - Significant,2022-09-21
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-03-03
Food Take Out,S - Significant,2023-02-10
Food Take Out,S - Significant,2023-02-10
Restaurant,S - Significant,2022-12-02
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2023-12-01
Restaurant,S - Significant,2023-12-01
Cafeteria - Private Access,S - Significant,2022-06-27
Restaurant,S - Significant,2023-03-29
Restaurant,S - Significant,2023-10-05
Restaurant,S - Significant,2023-10-05
Restaurant,S - Significant,2023-10-05
Restaurant,S - Significant,2023-10-05
Restaurant,C - Crucial,2023-10-05
Restaurant,S - Significant,2023-10-05
Restaurant,S - Significant,2023-10-05
Restaurant,S - Significant,2023-11-30
Restaurant,S - Significant,2023-08-14
Food Store (Convenience/Variety),S - Significant,2023-03-06
Restaurant,S - Significant,2022-06-24
Restaurant,S - Significant,2022-12-06
Restaurant,S - Significant,2023-12-05
Retirement Homes(Licensed),S - Significant,2022-11-23
Retirement Homes(Licensed),S - Significant,2022-11-23
Retirement Homes(Licensed),S - Significant,2023-05-09
Food Court Vendor,S - Significant,2023-11-08
Restaurant,S - Significant,2022-10-25
Restaurant,S - Significant,2022-10-25
Restaurant,S - Significant,2023-08-22
Refreshment Stand (Stationary),S - Significant,2024-01-12
Food Take Out,S - Significant,2023-01-03
Food Take Out,S - Significant,2023-08-28
Restaurant,S - Significant,2023-04-18
Restaurant,S - Significant,2023-04-18
Restaurant,S - Significant,2023-04-18
Restaurant,S - Significant,2023-04-18
Restaurant,S - Significant,2023-07-31
Community Kitchen (Meal Program),S - Significant,2023-12-11
Food Take Out,S - Significant,2023-03-22
Food Court Vendor,S - Significant,2023-08-29
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2023-08-24
Child Care - Food Preparation,S - Significant,2023-05-08
Restaurant,S - Significant,2023-04-21
Food Take Out,C - Crucial,2023-03-01
Food Take Out,S - Significant,2023-03-01
Food Take Out,S - Significant,2023-03-01
Food Take Out,C - Crucial,2023-03-01
Food Take Out,C - Crucial,2023-03-01
Food Take Out,C - Crucial,2023-03-01
Food Take Out,S - Significant,2023-03-01
Food Take Out,C - Crucial,2023-07-27
Food Take Out,S - Significant,2023-07-27
Food Take Out,C - Crucial,2023-07-27
Food Take Out,S - Significant,2023-07-27
Food Take Out,S - Significant,2023-12-06
Food Take Out,S - Significant,2023-12-06
Food Take Out,C - Crucial,2023-12-06
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2023-01-30
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,C - Crucial,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2023-04-03
Food Take Out,S - Significant,2022-06-28
Food Take Out,C - Crucial,2023-02-16
Food Take Out,S - Significant,2023-02-16
